Car Model,warranty,Engine capacity,Horse Power,Maximum Speed,Acceleration,Speeds,Transmission Type,Year,Fuel,liter/100KM,Origin Country,Assembly Country,Length (mm),Width (mm),Height (mm),Ground Clearance,Wheel Base,Trunk Size,Seats,Traction Type,Number of cylinder,Fuel tank capacity,Torque of newton,Insurance Price,Register Price
Citroën C Elysee 2022 A/T / Comfort,"100000 Km /
3 Year(s)",1600 CC,115,188,12.7,6 Speeds,automatic,Year 2022,92,7.3,France,Spain,4427,1948,1466,156,2652,506,5,Front Traction,4,50,150,"7,873 EGP","3,149 EGP"
Citroën C Elysee 2022 A/T / Luxury,"100000 Km /
3 Year(s)",1600 CC,115,188,12.7,6 Speeds,automatic,Year 2022,92,7.3,France,Spain,4427,1948,1466,156,2652,506,5,Front Traction,4,50,150,"8,623 EGP","3,449 EGP"
Citroën C4 2023 A/T / Feel,"100000 Km /
3 Year(s)",1200 CC - Turbo,155,,8.2,8 Speeds,automatic,Year 2023,95,,France,Spain,4360,1834,1520,,,380,5,Front Traction,3,,240,"15,748 EGP","6,299 EGP"
Citroën C4 2023 A/T / feel Bule interior,"100000 Km /
3 Year(s)",1200 CC - Turbo,155,,8.2,8 Speeds,automatic,Year 2023,95,,France,Spain,4360,1834,1520,,,380,5,Front Traction,3,,240,"15,998 EGP","6,399 EGP"
Citroën C4 2023 A/T / Shine,"100000 Km /
3 Year(s)",1200 CC - Turbo,155,,8.2,8 Speeds,automatic,Year 2023,95,,France,Spain,4360,1834,1520,,,380,5,Front Traction,3,,240,"17,248 EGP","6,899 EGP"
Citroën C4 2023 A/T / Shine Red interior,"100000 Km /
3 Year(s)",1200 CC - Turbo,155,,8.2,8 Speeds,automatic,Year 2023,95,,France,Spain,4360,1834,1520,,,380,5,Front Traction,3,,240,"17,498 EGP","6,999 EGP"
Citroën C4 2022 A/T / Fell,"100000 Km /
3 Year(s)",1200 CC - Turbo,155,,8.2,8 Speeds,automatic,Year 2022,95,,France,Spain,4360,1834,1520,,,380,5,Front Traction,3,,240,"13,623 EGP","5,449 EGP"
Citroën C4 2022 A/T / Blue interior,"100000 Km /
3 Year(s)",1200 CC - Turbo,155,,8.2,8 Speeds,automatic,Year 2022,95,,France,Spain,4360,1834,1520,,,380,5,Front Traction,3,,240,"13,748 EGP","5,499 EGP"
Citroën C4 2022 A/T / Shine,"100000 Km /
3 Year(s)",1200 CC - Turbo,155,,8.2,8 Speeds,automatic,Year 2022,95,,France,Spain,4360,1834,1520,,,380,5,Front Traction,3,,240,"14,873 EGP","5,949 EGP"
Citroën C4 2022 A/T / Red interior,"100000 Km /
3 Year(s)",1200 CC - Turbo,155,,8.2,8 Speeds,automatic,Year 2022,95,,France,Spain,4360,1834,1520,,,380,5,Front Traction,3,,240,"14,998 EGP","5,999 EGP"
Citroën C3 Aircross 2022 A/T / Feel,"100000 Km /
3 Year(s)",1200 CC - Turbo,110,183,10.6,6 Speeds,automatic,Year 2022,95,5.6,France,Spain,4154,1756,1597,170,2604,410,5,Front Traction,3,45,205,"10,748 EGP","4,299 EGP"
Citroën C3 Aircross 2022 A/T / Shine,"100000 Km /
3 Year(s)",1200 CC - Turbo,110,183,10.6,6 Speeds,automatic,Year 2022,95,5.6,France,Spain,4154,1756,1597,170,2604,410,5,Front Traction,3,45,205,"11,823 EGP","4,729 EGP"
Citroën C4 2023 A/T / Feel,"100000 Km /
3 Year(s)",1200 CC - Turbo,155,,8.2,8 Speeds,automatic,Year 2023,95,,France,Spain,4360,1834,1520,,,380,5,Front Traction,3,,240,"15,748 EGP","6,299 EGP"
Citroën C4 2023 A/T / feel Bule interior,"100000 Km /
3 Year(s)",1200 CC - Turbo,155,,8.2,8 Speeds,automatic,Year 2023,95,,France,Spain,4360,1834,1520,,,380,5,Front Traction,3,,240,"15,998 EGP","6,399 EGP"
Citroën C4 2023 A/T / Shine,"100000 Km /
3 Year(s)",1200 CC - Turbo,155,,8.2,8 Speeds,automatic,Year 2023,95,,France,Spain,4360,1834,1520,,,380,5,Front Traction,3,,240,"17,248 EGP","6,899 EGP"
Citroën C4 2023 A/T / Shine Red interior,"100000 Km /
3 Year(s)",1200 CC - Turbo,155,,8.2,8 Speeds,automatic,Year 2023,95,,France,Spain,4360,1834,1520,,,380,5,Front Traction,3,,240,"17,498 EGP","6,999 EGP"
Citroën C4 2022 A/T / Fell,"100000 Km /
3 Year(s)",1200 CC - Turbo,155,,8.2,8 Speeds,automatic,Year 2022,95,,France,Spain,4360,1834,1520,,,380,5,Front Traction,3,,240,"13,623 EGP","5,449 EGP"
Citroën C4 2022 A/T / Blue interior,"100000 Km /
3 Year(s)",1200 CC - Turbo,155,,8.2,8 Speeds,automatic,Year 2022,95,,France,Spain,4360,1834,1520,,,380,5,Front Traction,3,,240,"13,748 EGP","5,499 EGP"
Citroën C4 2022 A/T / Shine,"100000 Km /
3 Year(s)",1200 CC - Turbo,155,,8.2,8 Speeds,automatic,Year 2022,95,,France,Spain,4360,1834,1520,,,380,5,Front Traction,3,,240,"14,873 EGP","5,949 EGP"
Citroën C4 2022 A/T / Red interior,"100000 Km /
3 Year(s)",1200 CC - Turbo,155,,8.2,8 Speeds,automatic,Year 2022,95,,France,Spain,4360,1834,1520,,,380,5,Front Traction,3,,240,"14,998 EGP","5,999 EGP"
Citroën C5 Aircross 2022 A/T / Live,"150000 Km /
5 Year(s)",1600 CC - Turbo,165,201,9.4,6 Speeds,automatic,Year 2022,92,6.8,France,France,4500,1860,1689,200,2730,516,5,Front Traction,4,53,240,"15,373 EGP","6,149 EGP"
Citroën C5 Aircross 2022 A/T / FEEL,"150000 Km /
5 Year(s)",1600 CC - Turbo,165,201,9.4,6 Speeds,automatic,Year 2022,92,6.8,France,France,4500,1860,1689,200,2730,516,5,Front Traction,4,53,240,"17,123 EGP","6,849 EGP"
Citroën C5 Aircross 2022 A/T / SHINE,"150000 Km /
5 Year(s)",1600 CC - Turbo,165,201,9.4,6 Speeds,automatic,Year 2022,92,6.8,France,France,4500,1860,1689,200,2730,516,5,Front Traction,4,53,240,"18,373 EGP","7,349 EGP"
Citroën C4 2023 A/T / Feel,"100000 Km /
3 Year(s)",1200 CC - Turbo,155,,8.2,8 Speeds,automatic,Year 2023,95,,France,Spain,4360,1834,1520,,,380,5,Front Traction,3,,240,"15,748 EGP","6,299 EGP"
Citroën C4 2023 A/T / feel Bule interior,"100000 Km /
3 Year(s)",1200 CC - Turbo,155,,8.2,8 Speeds,automatic,Year 2023,95,,France,Spain,4360,1834,1520,,,380,5,Front Traction,3,,240,"15,998 EGP","6,399 EGP"
Citroën C4 2023 A/T / Shine,"100000 Km /
3 Year(s)",1200 CC - Turbo,155,,8.2,8 Speeds,automatic,Year 2023,95,,France,Spain,4360,1834,1520,,,380,5,Front Traction,3,,240,"17,248 EGP","6,899 EGP"
Citroën C4 2023 A/T / Shine Red interior,"100000 Km /
3 Year(s)",1200 CC - Turbo,155,,8.2,8 Speeds,automatic,Year 2023,95,,France,Spain,4360,1834,1520,,,380,5,Front Traction,3,,240,"17,498 EGP","6,999 EGP"
Citroën C4 2022 A/T / Fell,"100000 Km /
3 Year(s)",1200 CC - Turbo,155,,8.2,8 Speeds,automatic,Year 2022,95,,France,Spain,4360,1834,1520,,,380,5,Front Traction,3,,240,"13,623 EGP","5,449 EGP"
Citroën C4 2022 A/T / Blue interior,"100000 Km /
3 Year(s)",1200 CC - Turbo,155,,8.2,8 Speeds,automatic,Year 2022,95,,France,Spain,4360,1834,1520,,,380,5,Front Traction,3,,240,"13,748 EGP","5,499 EGP"
Citroën C4 2022 A/T / Shine,"100000 Km /
3 Year(s)",1200 CC - Turbo,155,,8.2,8 Speeds,automatic,Year 2022,95,,France,Spain,4360,1834,1520,,,380,5,Front Traction,3,,240,"14,873 EGP","5,949 EGP"
Citroën C4 2022 A/T / Red interior,"100000 Km /
3 Year(s)",1200 CC - Turbo,155,,8.2,8 Speeds,automatic,Year 2022,95,,France,Spain,4360,1834,1520,,,380,5,Front Traction,3,,240,"14,998 EGP","5,999 EGP"
Citroën C5 Aircross 2023 A/T / Live,"150000 Km /
5 Year(s)",1600 CC - Turbo,165,201,9.4,6 Speeds,automatic,Year 2023,92,6.8,France,France,4500,1860,1689,200,2730,516,5,Front Traction,4,53,240,"18,000 EGP","7,200 EGP"
Citroën C5 Aircross 2023 A/T / FEEL / with out sunroof,"150000 Km /
5 Year(s)",1600 CC - Turbo,165,201,9.4,6 Speeds,automatic,Year 2023,92,6.8,France,France,4500,1860,1689,200,2730,516,5,Front Traction,4,53,240,"19,498 EGP","7,799 EGP"
Citroën C5 Aircross 2023 A/T / SHINE,"150000 Km /
5 Year(s)",1600 CC - Turbo,165,201,9.4,6 Speeds,automatic,Year 2023,92,6.8,France,France,4500,1860,1689,200,2730,516,5,Front Traction,4,53,240,"21,623 EGP","8,649 EGP"
Zotye Z100 2020 Manual / Elegent,"150000 Km /
5 Year(s)",1000 CC,75,,,5 Speeds,manual,Year  2020,92,5.3,China,China,3559,1620,1476,,2360,,4,Front Traction,,50,90,"3,000 EGP",300 EGP
Zotye Z300 2020 Manual / Luxury ,"150000 Km /
5 Year(s)",1500 CC,113,,,4 Speeds,manual,Year 2020,,,China,China,4600,1766,1486,,,,,Front Traction,,,,"4,200 EGP","1,680 EGP"
Zotye Z560 2020 Automatic / Comfort,"150000 Km /
5 Year(s)",1500 CC - Turbo,150,,,,CVT,Year 2020,92,,China,China,4750,1810,1490,159,2750,,5,Front Traction,4,55,200,"7,875 EGP","3,150 EGP"
Zotye T600 2020 Automatic / Royal,"150000 Km /
5 Year(s)",1500 CC - Turbo,156,,,6 Speeds,automatic,Year 2020,92,,China,China,4654,1893,1696,,2807,,5,Front Traction,4,60,207,"8,450 EGP","3,380 EGP"
Zotye T500 2020 Automatic / Royal,"150000 Km /
5 Year(s)",1500 CC - Turbo,156,,,6 Speeds,automatic,Year 2020,92,,China,China,4632,1850,1695,180,2700,390,5,Front Traction,4,50,215,"8,625 EGP","3,450 EGP"
Zotye T500 2020 Automatic / Flagship,"150000 Km /
5 Year(s)",1500 CC  - Turbo,156,,,6 Speeds,automatic,Year 2020,92,,China,China,4632,1850,1695,180,2700,390,5,Front Traction,4,50,215,"10,000 EGP","4,000 EGP"
Jetour X70 2022 A/T / Comfort,"150000 Km /
6 Year(s)",1500 CC - Turbo,147,180,10,8 Speeds,automatic,Year 2022,92,,China,China,4720,1900,1695,210,2745,1260,7,Front Traction,4,55,210,"12,748 EGP","5,099 EGP"
Jetour X70 2022 A/T / Luxury,"150000 Km /
6 Year(s)",1500 CC - Turbo,147,180,10,8 Speeds,automatic,Year 2022,92,,China,China,4720,1900,1695,210,2745,1260,7,Front Traction,4,55,210,"13,748 EGP","5,499 EGP"
Jetour X95 2022 A/T / Full option,"150000 Km /
6 Year(s)",1600 CC - Turbo,197,,,7 Speeds,DSG,Year 2022,95,,China,China,4875,1925,1780,210,2855,,7,Front Traction,4,57,290,"16,248 EGP","6,499 EGP"
Jetour X95 2022 A/T / Highline,"150000 Km /
6 Year(s)",1600 CC - Turbo,197,,,7 Speeds,DSG,Year 2022,95,,China,China,4875,1925,1780,210,2855,,7,Front Traction,4,57,290,"16,748 EGP","6,699 EGP"
Suzuki S Presso 2022 M/T / F/O,"100000 Km /
3 Year(s)",1000 CC,67,,14.3,5 Speeds,manual,Year 2022,92,4.6,Japan,Japan,3565,1520,1549,180,2380,239,4,Front Traction,3,27,90,"5,748 EGP",575 EGP
Suzuki S Presso 2021 M/T / F/O,"100000 Km /
3 Year(s)",1000 CC,67,,14.3,5 Speeds,manual,Year 2021,92,4.6,Japan,,3565,1520,1549,180,2380,239,4,Front Traction,3,27,90,"3,673 EGP",367 EGP
Suzuki Swift Dzire 2022 A/T / Highline,"100000 Km /
3 Year(s)",1200 CC,85,175,13.2,5 Speeds,automatic,Year 2022,92,5.5,Japan,India,3990,1730,1510,165,2540,378,5,Front Traction,4,37,113,"8,123 EGP","3,249 EGP"
Suzuki Swift Dzire 2022 A/T / Top Line,"100000 Km /
3 Year(s)",1200 CC,85,175,13.2,5 Speeds,automatic,Year 2022,92,5.5,Japan,India,3990,1730,1510,165,2540,378,5,Front Traction,4,37,113,"8,623 EGP","3,449 EGP"
Suzuki Swift Dzire 2021 A/T / Highline,"100000 Km /
3 Year(s)",1200 CC,85,175,13.2,5 Speeds,automatic,Year 2021,92,5.5,Japan,,3990,1730,1510,165,2540,378,5,Front Traction,4,37,113,"5,163 EGP","2,065 EGP"
Suzuki Swift Dzire 2021 A/T / Top Line,"100000 Km /
3 Year(s)",1200 CC,85,175,13.2,5 Speeds,automatic,Year 2021,92,5.5,Japan,,3990,1730,1510,165,2540,378,5,Front Traction,4,37,113,"5,363 EGP","2,145 EGP"
Suzuki S Presso 2022 M/T / F/O,"100000 Km /
3 Year(s)",1000 CC,67,,14.3,5 Speeds,manual,Year 2022,92,4.6,Japan,Japan,3565,1520,1549,180,2380,239,4,Front Traction,3,27,90,"5,748 EGP",575 EGP
Suzuki S Presso 2021 M/T / F/O,"100000 Km /
3 Year(s)",1000 CC,67,,14.3,5 Speeds,manual,Year 2021,92,4.6,Japan,,3565,1520,1549,180,2380,239,4,Front Traction,3,27,90,"3,673 EGP",367 EGP
Suzuki Celerio 2022 Automtic / GL,"100000 Km /
3 Year(s)",1000 CC,65,140,,4 Speeds,automatic,Year 2022,92,3.7,Japan,India,3695,1655,1555,,,,4,Front Traction,3,,89,"7,498 EGP",750 EGP
Suzuki Baleno 2022 Automtic,"100000 Km /
3 Year(s)",1400 CC,95,170,11.6,4 Speeds,automatic,Year 2022,92,,Japan,India,3995,1745,1470,145,2520,355,5,Front Traction,4,37,130,"7,998 EGP","3,199 EGP"
Suzuki Baleno 2021 Automtic,"100000 Km /
3 Year(s)",1400 CC,95,170,11.6,4 Speeds,automatic,Year 2021,92,,Japan,India,3995,1745,1470,145,2520,355,5,Front Traction,4,37,130,"6,350 EGP","2,540 EGP"
Suzuki Ciaz 2022 A/T / GL,"100000 Km /
3 Year(s)",1500 CC,104,,12,4 Speeds,automatic,Year 2022,92,,Japan,India,4490,1730,1475,145,2650,495,5,Front Traction,4,42,138,"9,623 EGP","3,849 EGP"
Suzuki Ciaz 2022 A/T / GLX,"100000 Km /
3 Year(s)",1500 CC,104,,12,4 Speeds,automatic,Year 2022,92,,Japan,India,4490,1730,1475,145,2650,495,5,Front Traction,4,42,138,"10,623 EGP","4,249 EGP"
Suzuki Ciaz 2021 A/T / GLX,"100000 Km /
3 Year(s)",1500 CC,104,,,4 Speeds,automatic,Year 2021,92,,Japan,India,4490,1730,1475,145,2650,495,5,Front Traction,4,42,138,"6,373 EGP","2,549 EGP"
Suzuki Ertiga 2022 A/T / GLX,"100000 Km /
3 Year(s)",1500 CC,104,,13.5,4 Speeds,automatic,Year 2022,92,6.6,Japan,India,4265,1695,1685,185,2740,482,7,Front Traction,4,45,138,"11,748 EGP","4,699 EGP"
Suzuki Ertiga 2021 A/T / Comfort,"100000 Km /
3 Year(s)",1500 CC,104,,13.5,4 Speeds,automatic,Year 2021,92,6.6,Japan,India,4265,1695,1685,185,2740,482,7,Front Traction,4,45,138,"6,998 EGP","2,799 EGP"
Suzuki Ertiga 2021 A/T / GLX,"100000 Km /
3 Year(s)",1500 CC,104,,13.5,4 Speeds,automatic,Year 2021,92,6.6,Japan,India,4265,1695,1685,185,2740,482,7,Front Traction,4,45,138,"7,323 EGP","2,929 EGP"
Suzuki Swift Dzire 2022 A/T / Highline,"100000 Km /
3 Year(s)",1200 CC,85,175,13.2,5 Speeds,automatic,Year 2022,92,5.5,Japan,India,3990,1730,1510,165,2540,378,5,Front Traction,4,37,113,"8,123 EGP","3,249 EGP"
Suzuki Swift Dzire 2022 A/T / Top Line,"100000 Km /
3 Year(s)",1200 CC,85,175,13.2,5 Speeds,automatic,Year 2022,92,5.5,Japan,India,3990,1730,1510,165,2540,378,5,Front Traction,4,37,113,"8,623 EGP","3,449 EGP"
Suzuki Swift Dzire 2021 A/T / Highline,"100000 Km /
3 Year(s)",1200 CC,85,175,13.2,5 Speeds,automatic,Year 2021,92,5.5,Japan,,3990,1730,1510,165,2540,378,5,Front Traction,4,37,113,"5,163 EGP","2,065 EGP"
Suzuki Swift Dzire 2021 A/T / Top Line,"100000 Km /
3 Year(s)",1200 CC,85,175,13.2,5 Speeds,automatic,Year 2021,92,5.5,Japan,,3990,1730,1510,165,2540,378,5,Front Traction,4,37,113,"5,363 EGP","2,145 EGP"
Suzuki Baleno 2022 Automtic,"100000 Km /
3 Year(s)",1400 CC,95,170,11.6,4 Speeds,automatic,Year 2022,92,,Japan,India,3995,1745,1470,145,2520,355,5,Front Traction,4,37,130,"7,998 EGP","3,199 EGP"
Suzuki Baleno 2021 Automtic,"100000 Km /
3 Year(s)",1400 CC,95,170,11.6,4 Speeds,automatic,Year 2021,92,,Japan,India,3995,1745,1470,145,2520,355,5,Front Traction,4,37,130,"6,350 EGP","2,540 EGP"
Suzuki Swift 2022 Automatic /without screen,"100000 Km /
3 Year(s)",1200 CC,84,180,12.9,5 Speeds,automatic,Year 2022,92,6.2,Japan,India,3840,1735,1495,120,2450,211,5,Front Traction,4,37,107,"8,748 EGP","3,499 EGP"
Suzuki Swift 2022 Automatic / screen,"100000 Km /
3 Year(s)",1200 CC,84,180,12.9,5 Speeds,automatic,Year 2022,92,6.2,Japan,India,3840,1735,1495,120,2450,211,5,Front Traction,4,37,107,"8,998 EGP","3,599 EGP"
Suzuki Vitara 2022 A/T / One tone,"100000 Km /
3 Year(s)",1600 CC,120,,13,6 Speeds,automatic,Year 2022,92,5.5,Japan,Japan,4175,1775,1610,185,2500,375,5,Front Traction,4,,156,"14,748 EGP","5,899 EGP"
Suzuki Vitara 2022 A/T / Two tone,"100000 Km /
3 Year(s)",1600 CC,120,,13,6 Speeds,automatic,Year 2022,92,5.5,Japan,Japan,4175,1775,1610,185,2500,375,5,Front Traction,4,,156,"14,998 EGP","5,999 EGP"
Suzuki Vitara 2021 A/T / One tone,"100000 Km /
3 Year(s)",1600 CC,120,,13,6 Speeds,automatic,Year 2021,92,5.5,Japan,Hungary,4175,1775,1610,185,2500,375,5,Front Traction,4,,156,"8,825 EGP","3,530 EGP"
Suzuki Vitara 2021 A/T / Two tone,"100000 Km /
3 Year(s)",1600 CC,120,,13,6 Speeds,automatic,Year 2021,92,5.5,Japan,Hungary,4175,1775,1610,185,2500,375,5,Front Traction,4,,156,"9,000 EGP","3,600 EGP"
Suzuki Swift 2022 A/T / without screen (2ton),"100000 Km /
3 Year(s)",1200 CC,84,180,12.9,5 Speeds,automatic,Year 2022,92,6.2,Japan,India,3840,1735,1495,120,2450,211,5,Front Traction,4,37,107,"9,248 EGP","3,699 EGP"
Suzuki Swift 2022 A/T / screen (2ton),"100000 Km /
3 Year(s)",1200 CC,84,180,12.9,5 Speeds,automatic,Year 2022,92,6.2,Japan,India,3840,1735,1495,120,2450,211,5,Front Traction,4,37,107,"9,498 EGP","3,799 EGP"
Suzuki Ciaz 2022 A/T / GL,"100000 Km /
3 Year(s)",1500 CC,104,,12,4 Speeds,automatic,Year 2022,92,,Japan,India,4490,1730,1475,145,2650,495,5,Front Traction,4,42,138,"9,623 EGP","3,849 EGP"
Suzuki Ciaz 2022 A/T / GLX,"100000 Km /
3 Year(s)",1500 CC,104,,12,4 Speeds,automatic,Year 2022,92,,Japan,India,4490,1730,1475,145,2650,495,5,Front Traction,4,42,138,"10,623 EGP","4,249 EGP"
Suzuki Ciaz 2021 A/T / GLX,"100000 Km /
3 Year(s)",1500 CC,104,,,4 Speeds,automatic,Year  2021,92,,Japan,India,4490,1730,1475,145,2650,495,5,Front Traction,4,42,138,"6,373 EGP","2,549 EGP"
Suzuki Ertiga 2022 A/T / GLX,"100000 Km /
3 Year(s)",1500 CC,104,,13.5,4 Speeds,automatic,Year 2022,92,6.6,Japan,India,4265,1695,1685,185,2740,482,7,Front Traction,4,45,138,"11,748 EGP","4,699 EGP"
Suzuki Ertiga 2021 A/T / Comfort,"100000 Km /
3 Year(s)",1500 CC,104,,13.5,4 Speeds,automatic,Year 2021,92,6.6,Japan,India,4265,1695,1685,185,2740,482,7,Front Traction,4,45,138,"6,998 EGP","2,799 EGP"
Suzuki Ertiga 2021 A/T / GLX,"100000 Km /
3 Year(s)",1500 CC,104,,13.5,4 Speeds,automatic,Year 2021,92,6.6,Japan,India,4265,1695,1685,185,2740,482,7,Front Traction,4,45,138,"7,323 EGP","2,929 EGP"
Suzuki Vitara 2022 A/T / One tone,"100000 Km /
3 Year(s)",1600 CC,120,,13,6 Speeds,automatic,Year 2022,92,5.5,Japan,Japan,4175,1775,1610,185,2500,375,5,Front Traction,4,,156,"14,748 EGP","5,899 EGP"
Suzuki Vitara 2022 A/T / Two tone,"100000 Km /
3 Year(s)",1600 CC,120,,13,6 Speeds,automatic,Year 2022,92,5.5,Japan,Japan,4175,1775,1610,185,2500,375,5,Front Traction,4,,156,"14,998 EGP","5,999 EGP"
Suzuki Vitara 2021 A/T / One tone,"100000 Km /
3 Year(s)",1600 CC,120,,13,6 Speeds,automatic,Year 2021,92,5.5,Japan,Hungary,4175,1775,1610,185,2500,375,5,Front Traction,4,,156,"8,825 EGP","3,530 EGP"
Suzuki Vitara 2021 A/T / Two tone,"100000 Km /
3 Year(s)",1600 CC,120,,13,6 Speeds,automatic,Year 2021,92,5.5,Japan,Hungary,4175,1775,1610,185,2500,375,5,Front Traction,4,,156,"9,000 EGP","3,600 EGP"
Alfa Romeo Giulietta 2022 A/T / Base,,1400 CC - Turbo,170,218,7.6,6 Speeds,automatic,Year 2022,95,5.8,Italy,,4351,1798,1465,140,2635,350,5,Front Traction,4,60,250,"11,250 EGP","4,500 EGP"
Alfa Romeo Giulietta 2022 A/T / Super,,1400 CC - Turbo,170,218,7.6,6 Speeds,automatic,Year 2022,95,5.8,Italy,,4351,1798,1465,140,2635,350,5,Front Traction,4,60,250,"12,500 EGP","5,000 EGP"
Alfa Romeo Giulietta 2022 A/T / Veloce,,1800 CC - Turbo,240,244,6,7 Speeds,DSG,Year 2022,95,6.8,Italy,,4351,1798,1465,140,2364,350,5,Front Traction,4,60,340,"16,250 EGP","9,750 EGP"
Alfa Romeo Giulietta 2021 A/T / Base,,1400 CC - Turbo,170,218,7.6,6 Speeds,automatic,Year 2021,95,5.8,Italy,Italy,4351,1798,1465,140,2635,350,5,Front Traction,4,60,250,"11,250 EGP","4,500 EGP"
Alfa Romeo Giulietta 2021 A/T / Super,,1400 CC - Turbo,170,218,7.6,6 Speeds,automatic,Year 2021,95,5.8,Italy,Italy,4351,1798,1465,140,2635,350,5,Front Traction,4,60,250,"12,500 EGP","5,000 EGP"
Alfa Romeo Giulietta 2021 A/T / Veloce,,1800 CC - Turbo,240,244,6,7 Speeds,DSG,Year 2021,95,6.8,Italy,Italy,4351,1798,1465,140,2364,350,5,Front Traction,4,60,340,"16,250 EGP","9,750 EGP"
Alfa Romeo Giulietta 2020 A/T / Full option,,1400 CC,170,218,7.6,6 Speeds,automatic,Year 2020,95,5.8,Italy,Italy,4351,1798,1465,140,2635,350,5,Front Traction,4,60,250,"9,725 EGP","3,890 EGP"
Alfa Romeo Giulietta 2020 A/T / Highline,,1400 CC,170,218,7.6,6 Speeds,automatic,Year 2020,95,5.8,Italy,Italy,4351,1798,1465,140,2635,350,5,Front Traction,4,60,250,"12,475 EGP","4,990 EGP"
Alfa Romeo Giulietta 2022 A/T / Base,,1400 CC - Turbo,170,218,7.6,6 Speeds,automatic,Year 2022,95,5.8,Italy,,4351,1798,1465,140,2635,350,5,Front Traction,4,60,250,"11,250 EGP","4,500 EGP"
Alfa Romeo Giulietta 2022 A/T / Super,,1400 CC - Turbo,170,218,7.6,6 Speeds,automatic,Year 2022,95,5.8,Italy,,4351,1798,1465,140,2635,350,5,Front Traction,4,60,250,"12,500 EGP","5,000 EGP"
Alfa Romeo Giulietta 2022 A/T / Veloce,,1800 CC - Turbo,240,244,6,7 Speeds,DSG,Year 2022,95,6.8,Italy,,4351,1798,1465,140,2364,350,5,Front Traction,4,60,340,"16,250 EGP","9,750 EGP"
Alfa Romeo Giulietta 2021 A/T / Base,,1400 CC - Turbo,170,218,7.6,6 Speeds,automatic,Year 2021,95,5.8,Italy,Italy,4351,1798,1465,140,2635,350,5,Front Traction,4,60,250,"11,250 EGP","4,500 EGP"
Alfa Romeo Giulietta 2021 A/T / Super,,1400 CC - Turbo,170,218,7.6,6 Speeds,automatic,Year 2021,95,5.8,Italy,Italy,4351,1798,1465,140,2635,350,5,Front Traction,4,60,250,"12,500 EGP","5,000 EGP"
Alfa Romeo Giulietta 2021 A/T / Veloce,,1800 CC - Turbo,240,244,6,7 Speeds,DSG,Year 2021,95,6.8,Italy,Italy,4351,1798,1465,140,2364,350,5,Front Traction,4,60,340,"16,250 EGP","9,750 EGP"
Alfa Romeo Giulietta 2020 A/T / Full option,,1400 CC,170,218,7.6,6 Speeds,automatic,Year 2020,95,5.8,Italy,Italy,4351,1798,1465,140,2635,350,5,Front Traction,4,60,250,"9,725 EGP","3,890 EGP"
Alfa Romeo Giulietta 2020 A/T / Highline,,1400 CC,170,218,7.6,6 Speeds,automatic,Year 2020,95,5.8,Italy,Italy,4351,1798,1465,140,2635,350,5,Front Traction,4,60,250,"12,475 EGP","4,990 EGP"
Alfa Romeo Giulia 2022 A/T / Veloce,,2000 CC - Turbo ,200,240,5.2,8 Speeds,automatic,Year 2022,95,6.9,Italy,,4639,1873,1426,150,2820,480,5,Four-wheel Drive,4,58,400,"26,250 EGP","15,750 EGP"
Alfa Romeo Giulia 2021 A/T / Base,,2000 CC - Turbo ,200,235,6.6,8 Speeds,automatic,Year 2021,95,6,Italy,Italy,4639,1873,1426,150,2820,480,5,Back Traction,4,58,300,"17,375 EGP","10,425 EGP"
Alfa Romeo Giulia 2021 A/T / Super,,2000 CC - Turbo,200,235,6.6,8 Speeds,automatic,Year 2021,95,6,Italy,Italy,4639,1873,1426,150,2820,480,5,Back Traction,4,58,300,"19,875 EGP","11,925 EGP"
Alfa Romeo Giulia 2021 A/T / Veloce,,2000 CC - Turbo,200,240,5.2,8 Speeds,automatic,Year 2021,95,6.9,Italy,Italy,4639,1873,1426,150,2820,480,5,Four-wheel Drive,4,58,400,"22,875 EGP","13,725 EGP"
Alfa Romeo Giulia 2020 A/T / Base,,2000 CC - Turbo,200,235,6.6,8 Speeds,automatic,Year 2020,95,6,Italy,Italy,4643,1860,1436,150,2820,480,5,Back Traction,4,58,330,"15,875 EGP","9,525 EGP"
Alfa Romeo Giulia 2020 A/T / Super,,2000 CC - Turbo,200,235,6.6,8 Speeds,automatic,Year 2020,95,6,Italy,Italy,4643,1860,1436,150,2820,480,5,Back Traction,4,58,330,"17,375 EGP","10,425 EGP"
Alfa Romeo Giulia 2020 A/T / Super Plus,,2000 CC,280,240,5.2,8 Speeds,automatic,Year 2020,95,6.4,Italy,Italy,4643,1860,1436,150,2820,480,5,Four-wheel Drive,4,58,400,"19,250 EGP","11,550 EGP"
Alfa Romeo Giulia 2020 A/T / Veloce,,2000 CC,200,235,6.6,8 Speeds,automatic,Year 2020,95,6,Italy,Italy,4643,1860,1436,150,2820,480,5,Back Traction,4,58,330,"20,225 EGP","12,135 EGP"
Alfa Romeo Giulia 2020 A/T / quadrifoglio,,2900 CC,510,305,4.3,8 Speeds,automatic,Year 2020,95,8.6,Italy,Italy,4639,1873,1426,141,2820,480,5,Back Traction,6,70,600,"46,250 EGP","46,250 EGP"
Alfa Romeo Stelvio 2022 A/T / Super,,2000 CC - Turbo,280,241,5.5,8 Speeds,automatic,Year 2022,95,7,Italy,,4693,1903,1684,200,2818,525,5,Four-wheel Drive,4,64,400,"28,750 EGP","17,250 EGP"
